TagStatus,Rev,TagNo,PIDNo,Service,InstrumentType,LineSize,LineSpec,FluidName,FluidState,OPMax,OPNor,OPMin,OTMax,OTNor,OTMin,DesignPressInt,DesignPressExt,DesignTempHot,DesignTempCold,FlowMax,FlowNor,FlowMin,MaxAllowDP,Density,Viscosity,MolWeight,CpCv,CompFactorZ,CriticalPress,VaporPress,Flash,ShutOffDP,FailPosition,Remark,FlowUOM,PressUOM,TempUOM,InstRemark1,InstRemark2
,,PCV-3353AX,YIP3-0007,GA-3353A SEAL PLAN,"PRESSURE 
REGULATING VALVE","1/2""",BB55C1,NL,V,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,By Pump Vendor ,,,,,
,,PCV-3353BX,YIP3-0007,GA-3353B SEAL PLAN,"PRESSURE 
REGULATING VALVE","1/2""",BB55C1,NL,V,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,By Pump Vendor ,,,,,
,,PCV-3373AX,YIP3-0007,GA-3373A SEAL PLAN,"PRESSURE 
REGULATING VALVE","1/2""",BB55C1,NL,V,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,By Pump Vendor ,,,,,
,,PCV-3373BX,YIP3-0007,GA-3373B SEAL PLAN,"PRESSURE 
REGULATING VALVE","1/2""",BB55C1,NL,V,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,By Pump Vendor ,,,,,
,,PCV-3420AX,YIP3-0007,GA-3420A SEAL PLAN,"PRESSURE 
REGULATING VALVE","1/2""",FF55C1,NL,V,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,By Pump Vendor ,,,,,
,,PCV-3420BX,YIP3-0007,GA-3420B SEAL PLAN,"PRESSURE 
REGULATING VALVE","1/2""",FF55C1,NL,V,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,By Pump Vendor ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PV-3119,YIP3-1001,HP STEAM  TO EA-3110,GLOBE,"4""",BA59C,SH,S,-,31,-,-,255,-,46,-,400,-,7000,4774,3341.8,3,12.9,0.02,18,1.15,0.96,-,-,-,-,FC,,,,,,
,,PV-3134A,YIP3-0005,Sampling to EA-3134,GLOBE,"1""",FF59C,PDI ,M,-,1.5,-,-,105,-,8,-,250,-,85.9,17.2,12,0.5,"L : 895
V : 3.58","L : 0.28
V : 0.01",43.99,1.14,0.977,-,40.24529821,,-,FC,"(*) Inlet Mass Vapor Fraction 8.96%
   Outlet Mass Vapor Fraction 10.1%
 - Outlet Condition :
   Vapor = MW : 41.4 Viscosity : 0.011 Cp/Cv : 1.14
   Liquid =  Density : 900.6 Viscosity : 0.28",kg/h,,,,
,,PV-3134B,YIP3-0005,Sampling to EA-3134,GLOBE,"1""",FF59C,PDI ,M,-,1.5,-,-,105,-,8,-,250,-,85.9,17.2,12,0.5,"L : 895
V : 3.58","L : 0.28
V : 0.01",43.99,1.14,0.977,-,40.24529821,,-,FC,"(*) Inlet Mass Vapor Fraction 8.96%
   Outlet Mass Vapor Fraction 10.1%
 - Outlet Condition :
   Vapor = MW : 41.4 Viscosity : 0.011 Cp/Cv : 1.14
   Liquid =  Density : 900.6 Viscosity : 0.28",kg/h,,,,
,,PV-3135,YIP3-1001,GA-3115A/B MIN. FLOW,GLOBE,"3""",BB59C1,PPW,L,-,49.8,-,-,102,-,61,-,180,-,25,12,4.2,44.4,913.2,0.27,-,-,-,-,1.2,-,-,FO,,,,,,
,,PV-3212,YIP3-2001,EA-3215 WCR,GLOBE,"6""",BB55C,WCR,L,-,4.3,-,-,36,-,7,-,50,-,186.383942,186.383942,93,0.7,993.9,0.71,-,-,-,-,0.06,-,-,FO,,,,,,
,,PV-3223,YIP3-2002,EA-3225 WCR,GLOBE,"4""",BB55C,WCR,L,-,4.3,-,-,42,-,7,-,50,-,54,50.16537259,25,0.7,991.7,0.63,-,-,-,-,0.08,-,-,FO,,,,,,
,,PV-3224,YIP3-2002,GA-3226A/B BYPASS,GLOBE,"1""",BB59C1,PPR,L,-,50.6,-,-,47,-,55,-,120,-,6,5,3.5,28.9,453.1,0.07,-,-,-,-,20.03,-,-,FL,- Flowrate to be confirmed by pump vendor,,,,,
,,PV-3228,YIP3-2002,FA-3223 VENT TO FLARE,GLOBE,"2""",BB55C,VFL ,V,-,5.5,-,-,30,-,7.5,-,120,-,38.1,31.7,10.5,5,12.11,0.01,42.65,1.2,0.9,-,,-,-,FO,,,,,,
,,PV-3317,YIP3-3001,GA-3316A/B MIN. FLOW,GLOBE,"1""",BB59C1,PE,L,-,50.8,-,-,45,-,61.5,-,120,-,1.2,1,0.7,49.8,698.8,0.26,-,-,-,-,0.58,-,-,FO, -Flowrate to be confirmed by Pump Vendor,,,,,
,,PV-3324,YIP3-3003,DA-3320 OVHD TO EA-3325,GLOBE,"10""",BB55C1,PDI ,V,-,1.6,-,-,105.6,-,4,-,180,-,2486.306965,2071.922471,1450.345729,0.6,4,0.01,46.95,1.12,0.97,-,-,-,-,FO,,,,,,
,,PV-3370A,YIP3-3007,N2 TO FA-3373A/B/C,GLOBE,"2""",BB55C,NL,V,-,2,-,-,AMB,-,9,-,60,-,54.8,45.66666667,31.96666667,1.95,3.4,0.02,28,1.41,1,-,-,-,-,FO,,,,,,
,,PV-3370B,YIP3-3007,VENT GAS TO RTO,GLOBE,"2""",BB55C,VRS,V,-,0.03,-,-,35,-,0.5,-,60,-,9.7,8.083333333,5.658333333,0.03,8.8,0.02,28,1.41,1,-,-,-,-,FO,,,,,,
,,PV-3415,YIP3-4001,FA-3415 VENT TO FLARE,GLOBE,"2""",BB57C1,VFL ,V,-,15.2,-,-,AMB,-,25,-,65,-,24.1,20.08333333,14.05833333,14.9,2.3,0.01,42.08,1.16,1,-,-,-,-,FC,,,,,,
,,PV-3417,YIP3-4001,GA-3415A/B MIN. FLOW,GLOBE,"3""",BB59C1,PPR,L,-,49.7,-,-,35,-,55,-,65,-,6,5,3.5,34,568,0.13,-,-,-,-,15.21,-,-,FO,- Flowrate to be confirmed by pump vendor,,,,,
,,PV-3420AA,YIP3-4002,N2 TO FB-3420A,GLOBE,"3""",BB55C,NL,V,-,2,-,-,AMB,-,9,-,60,-,135.4,112.8333333,78.98333333,1.95,3.4,0.02,28,1.41,1,-,-,-,-,FO,,,,,,
,,PV-3420AB,YIP3-4002,FB-3420A VENT,GLOBE,"4""",FF55C1,PIP,V,-,0.05,-,-,AMB,-,0.12,-,120,-,113,94.16666667,65.91666667,0.02,1.4,0.02,34.96,1.24,1,-,-,-,-,FO,,,,,,
,,PV-3420BA,YIP3-4002,N2 TO FB-3420B,GLOBE,"3""",BB55C,NL,V,-,2,-,-,AMB,-,9,-,60,-,135.4,112.8333333,78.98333333,1.95,3.4,0.02,28,1.41,1,-,-,-,-,FO,,,,,,
,,PV-3420BB,YIP3-4002,FB-3420B VENT,GLOBE,"4""",FF55C1,PIP,V,-,0.05,-,-,AMB,-,0.12,-,120,-,113,94.16666667,65.91666667,0.02,1.4,0.02,34.96,1.24,1,-,-,-,-,FO,,,,,,
,,PV-3806,YIP3-8011,MS TO BG-3803,GLOBE,"10""",BB57C,MS,S,-,15,-,-,270,-,18,-,350,-,26680,23760,16632,4.8,7.2,0.02,18,1.41,1,-,-,-,-,FC,,,,,,
,,PV-3811,YIP3-8011,HS TO BG-3801 INLET,GLOBE,"6""",BA59C,HS,S,-,40,-,-,370,-,46,-,425,-,6561,4550,3185,8.6,14.2,0.02,18,1.41,1,-,-,-,-,FC,,,,,,
,,PV-3814,YIP3-8011,SM TO SL-CONSUMERS,GLOBE,"6""",BB57C,SM,S,-,9.8,-,-,198,-,12,-,250,-,7710,6340,1940,6.3,5.2,0.02,18,1.36,0.96,-,-,-,-,FC,,,,,,
,,PV-3846,YIP3-8014,N2 TO HEADER,GLOBE,"2""",BB59C,NH,V,-,70,-,-,AMB,-,77,-,65,-,571,475.8333333,333.0833333,25,79.8,0.02,28,1.51,1,-,-,-,-,FC,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TV-3154,YIP3-1002,EA-3140 WCR,GLOBE,"8""",BB55C,WCR,L,-,4.3,-,-,42,-,7,-,50,-,313.6869013,285.1699103,143,0.7,991.7,0.63,-,-,-,-,0.08,-,-,FO,MECHANICAL STOPPER 10%,,,,,
,,TV-3165,YIP3-1003,EA-3165 WCR,GLOBE,"6""",BB55C,WCR,L,-,4.3,-,-,38,-,7,-,50,-,61.6,27.98429319,19.58900524,0.7,993.2,0.68,-,-,-,-,0.07,-,-,FO,,,,,,
,,TV-33100,YIP3-3001,EA-3310 SHELL OUTLET,GLOBE,2,BB55C,CL,L,-,3.7,-,-,102,-,9,-,180,-,12.5,10.44713748,7.312996239,2.4,957.2,0.28,-,-,-,-,1.11,-,-,FC,,,,,,
,,TV-3313,YIP3-3001,EA-3316 WCR,GLOBE,"6""",BB55C,WCR,L,-,4.3,-,-,42,-,7,-,50,-,97.2,57.83704749,40.48593325,0.7,991.7,0.63,-,-,-,-,0.08,-,-,FO,,,,,,
,,TV-3345,YIP3-3003,EA-3345 WCR,GLOBE,"3""",BB55C,WCR,L,-,4.3,-,-,38,-,7,-,50,-,33.60753121,33.60753121,23.52527185,0.7,993.2,0.68,-,-,-,-,0.08,-,-,FO,,,,,,
,,TV-3348,YIP3-3003,EA-3325 WCR,GLOBE,"8""",BB55C,WCR,L,-,4.3,-,-,42,-,7,-,50,-,276.3,118.1332527,82.69327689,0.7,992.1,0.63,-,-,-,-,0.08,-,-,FO,,,,,,
,,TV-3353,YIP3-3004,EA-3353A/B WCR,GLOBE,"4""",BB55C,WCR,L,-,4.3,-,-,38,-,7,-,50,-,50.45143087,50.45143087,35.31600161,0.7,992.4,0.65,-,-,-,-,0.08,-,-,FO,,,,,,
,,TV-33360,YIP3-3006,EA-3360 SHELL OUTLET,GLOBE,"1 1/2""",BB55C,CL,L,-,3.5,-,-,98,-,9,-,180,-,2.2,1.771202334,1.239841634,2.8,959.8,0.29,-,-,-,-,0.96,,,FC,,,,,,
,,TV-3368,YIP3-3006,EA-3365A/B WCR,GLOBE,"6""",BB55C,WCR,L,-,4.3,-,-,42,-,7,-,50,-,63.50670566,52.92225471,26.5,0.7,991.7,0.63,-,-,-,-,0.08,-,-,FO,,,,,,
,,TV-3383,YIP3-3003,EA-3327 WCR,GLOBE,"1""",BB55C,WCR,L,-,4.3,-,-,42,-,7,-,50,-,1,1.007962907,0.5,0.7,992.1,0.63,-,-,-,-,0.08,-,-,FO,MECHANICAL STOPPER 10%,,,,,
,,TV-3384,YIP3-3003,EA-3324 WCR,GLOBE,"10""",BB55C,WCR,L,-,4.3,-,-,39.8,-,7,-,50,-,174,87.15941153,61.01158807,0.7,992.4,0.65,-,-,-,-,0.08,-,-,FO,,,,,,
,,TV-3386A,YIP3-3003,EA-3323A/B WT BYPASS,GLOBE,"2""",BB55C1,WT,L,-,6.2,-,90,20,-,10,-,150,-,19.2,6.9,4.8,0.62,998.5,1,-,-,-,-,0.02,-,-,FC,,,,,,
,,TV-3386B,YIP3-3003,EA-3323A/B WT OUTLET,GLOBE,"3""",BB55C1,WT,L,-,5.73,-,90,75.9,-,10,-,150,-,19.7,17.88426021,7.5,0.27,974.6,0.37,-,-,-,-,0.41,-,-,FO,,,,,,
,,TV-3389A,YIP3-3003,PWW TO GA-3145A/B,GLOBE,"6""",BB55C1,PWW,L,-,7.8,-,-,104,-,11.9,-,150,-,36.1,28.58398744,20.00879121,2.9,955.5,0.27,-,-,-,-,0.96,-,-,FC,,,,,,
,,TV-3389B,YIP3-3003,PWW TO GA-3145A/B,GLOBE,"2""",BB55C1,PWW,L,-,6.2,-,-,40,-,11.9,-,150,-,8.1,3.3,2.3,1.2,992.4,0.65,-,-,-,-,0.06,-,-,FC,,,,,,
,,TV-3390A,YIP3-3003,PWW TO DA-3310,GLOBE,"6""",BB55C1,PWW,L,-,7.8,-,-,104,-,11.9,-,150,-,52.8,38.41234956,26.88864469,2.5,955.5,0.27,-,-,-,-,0.96,-,-,FC,,,,,,
,,TV-3390B,YIP3-3003,PWW TO DA-3310,GLOBE,"2""",BB55C1,PWW,L,-,6.2,-,-,40,-,11.9,-,150,-,7.7,1.6,1.1,0.9,992.4,0.65,-,-,-,-,0.06,-,-,FC,,,,,,
,,TV-3395A,YIP3-3005,EA-3355 WCR,GLOBE,"10""",BB55C,WCR,L,-,4.3,-,-,40,-,7,-,50,-,616.6868198,513.9056832,359.7339782,0.7,992.4,0.65,-,-,-,-,0.08,-,-,FO,,,,,,
,,TV-3397,YIP3-3005,EA-3357 WCR,GLOBE,"1 1/2""",BB55C,WCR,L,-,4.3,-,-,42,-,7,-,50,-,5,5.041847333,3.529293133,0.7,991.7,0.63,-,-,-,-,0.08,-,-,FO,MECHANICAL STOPPER 10%,,,,,
,,TV-3514,YIP3-8025,SL TO BJ-3510 WATER SEAL,GLOBE,"1""",BB55C,SL,S,-,3.5,-,-,147,-,6,-,200,-,50,-,-,1,2.3,0.01,18,1.34,1,-,-,-,-,FC,To be confirmed by vendor.,,,,,
,,TV-3807,YIP3-8011,CL TO BG-3803,GLOBE,"1 1/2""",BB55C,CL,L,-,11,-,-,100,-,14.4,-,150,-,2.2,1.4,1,1,958.6,0.28,-,-,-,-,1.03,-,-,FC,,,,,,
,,TV-3811,YIP3-8011,B.F.W TO BG-3801 INLET,GLOBE,"1 1/2""",BA59C,BFW,L,-,60,-,-,120,-,66,-,143,-,0.822478325,0.570416579,0.399291605,28,945.8,0.23,-,-,-,-,2.03,-,-,FC,,,,,,
,,TV-3813A,YIP3-8011,CL EA-3812 BYPASS,GLOBE,"3""",BB55C,CL,L,-,3.5,-,-,147,-,6,-,200,-,25.1,3.4,2.4,1.5,919.4,0.19,-,-,-,-,4.53,-,-,FO,,,,,,
,,TV-3813B,YIP3-8011,CL EA-3812,GLOBE,"3""",BB55C,CL,L,-,2.8,-,-,126.5,-,6,-,180,-,24.6,2.5,1.8,0.8,937.9,0.22,-,-,-,-,2.48,-,-,FC,,,,,,
,,TV-3815,YIP3-8011,EA-3815 WCR,GLOBE,"6""",BB55C,WCR,L,-,4.3,-,-,42,-,7,-,60,-,136.8483871,114.0403226,57,0.7,992,0.64,-,-,-,-,0.08,-,-,FO,,,,,,
,,TV-3835,YIP3-3003,EA-3835A/B TUBE SIDE BYPASS,GLOBE,"4""",BB55C1,PWW,L,-,7.6,-,-,104,-,11.9,-,150,-,34,30.85086342,21.5956044,0.5,955.5,0.27,,,,,1.2,,,FC,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
