TagStatus,Rev,TagNo,PIDNo,Service,InstrumentType,LineSize,LineSpec,FluidName,FluidState,OPMax,OPNor,OPMin,OTMax,OTNor,OTMin,DesignPressInt,DesignPressExt,DesignTempHot,DesignTempCold,FlowMax,FlowNor,FlowMin,MaxAllowDP,Density,Viscosity,MolWeight,CpCv,CompFactorZ,CriticalPress,VaporPress,Flash,ShutOffDP,FailPosition,Remark,FlowUOM,PressUOM,TempUOM,InstRemark1,InstRemark2
,,FV-3332,YIP3-3002,GA-3333A/B DISCHARGE TO GA-3115A/B,GLOBE,"1""",BB55C1,PDI ,L,-,6,-,-,118,-,8.9,-,160,-,724,603,300,0.7,822.7,0.24,,,,,3.08,,,FC,,kg/h,,,,
,,FV-3340,YIP3-3003,ACETONE TO WWT,GLOBE,"1""",BB55C1,PDI ,L,-,0.38,-,-,56,-,2,-,150,-,100,24,17,0.2,779.3,0.73,-,-,-,-,0.39,-,-,FC,,kg/h,,,,
,,FV-3341,YIP3-3003,DA-3320 OVHD TO DA-3340,GLOBE,"4""",BB55C1,PDI ,V,-,1.4,-,-,106,-,4,-,180,-,1000,440.5460958,308.3822671,1,4,0.01,46.95,1.12,0.97,-,-,-,-,FC,,,,,,
,,FV-3352,YIP3-3004,MP STEAM TO EA-3352,GLOBE,"6""",BB57C,SM,S,-,9.8,-,-,198,-,12,-,250,-,4800,1914,1339.8,1.8,5.1,0.02,18,1.36,0.96,-,-,-,-,FC,,,,,,
,,FV-3353,YIP3-3004,GA-3353A/B DISCHARGE,GLOBE,"2""",BB55C1,PIP,L,-,6,-,-,90,-,8.2,-,120,-,9767,7146,5002,1.6,712.9,0.43,-,-,-,-,1.33,-,-,FC,,kg/h,,,,
,,FV-3355,YIP3-3005,WT TO EA-3355 OUTLET,GLOBE,"1""",BB55C1,WT,L,-,10.8,-,-,AMB,-,14,-,AMB,-,1,0.5,0.2,10.3,997.4,0.89,-,-,-,-,0.03,-,-,FC,,,,,,
,,FV-3356,YIP3-3006,DA-3360 FEED INLET,GLOBE,"1 1/2""",BB55C1,PDI ,L,-,3.9,-,-,90,-,8.3,-,120,-,3.209942775,2.161099189,1.512769433,2.7,838.8,0.33,-,-,-,-,4.93,1.7,-,FC," - Outlet Condition :
   Vapor = MW : 58.78 Viscosity : 0.0099 Cp/Cv : 1.11
   Liquid =  Density : 843.2 Viscosity : 0.337",,,,,
,,FV-3356-1,YIP3-3004,GA-3356A/B DISCHARGE,GLOBE,"1""",BB55C1,PDI ,L,-,5.7,-,-,40,-,8.3,-,120,-,1,0.5,0.2,4.7,897.5,0.74,-,-,-,-,0.53,-,-,FC,,,,,,
,,FV-3357,YIP3-3004,DA-3350 FEED REFLUX,GLOBE,"4""",BB55C1,PS,L,-,4.5,-,-,40,-,7.1,-,120,-,44.9,34.6,24.2,0.7,789.4,0.81,-,-,-,-,0.44,-,-,FC,,ton/h,,,,
,,FV-3358,YIP3-3004,DA-3350 FEED INLET,GLOBE,"4""",BB55C1,PDI ,L,-,1.47,-,-,106,-,4,-,180,-,9746,8122,5685,1.3,712.5,0.29,-,-,-,-,2.7,10.4,-,FC," - Outlet Condition :
   Vapor = MW : 46.91  Viscosity : 0.01 Cp/Cv : 1.12
   Liquid =  Density : 744.4 Viscosity : 0.43",kg/h,,,,
